Project_ID,NPV,Cost,Duration_Weeks,Risk_Level,Shock_Sensitivity,Type,Portfolio_Type,Baseline_Performance,Performance_Loss,Recovery_Time,Final_Performance,Absorptive_Capacity,Restorative_Capacity,Transformative_Capacity,AC_norm,RC_norm,TC_norm,Resilience_Score
P1,1326,584,45,0.18,0.93,Operational,Conservative,100,4.63655798093484,8.8,103.48260108065314,95.36344201906516,0.1136363636363636,103.48260108065314,0.8389798796887273,0.4775616332819722,0.9237872122519386,0.7467762417408794
P2,1060,918,21,0.4,0.42,R&D,Balanced,100,5.153275409589198,13.0,94.98178780933364,94.8467245904108,0.0769230769230769,94.98178780933364,0.8149020069363235,0.1672099087353324,0.5288531231077922,0.5036550129264826
P3,1494,746,47,0.64,0.72,R&D,Aggressive,100,12.751432569879782,12.4,94.66491972404953,87.24856743012022,0.0806451612903225,94.66491972404953,0.4608449321930195,0.1986741388737014,0.5141319423635045,0.39121700447674174
P4,1330,120,25,0.63,0.2,Strategic,Aggressive,100,4.618922676357427,14.3,101.8180608075959,95.38107732364256,0.0699300699300699,101.8180608075959,0.8398016453115176,0.1080952945359724,0.8464553528636696,0.5981174309037198
P5,1295,940,42,0.57,0.48,Strategic,Balanced,100,7.483619967264913,16.7,101.48988426490725,92.51638003273509,0.059880239520958,101.48988426490725,0.7063131794313273,0.0231401603572516,0.8312087994071318,0.5202207130652369
P6,1244,266,26,0.32,0.44,R&D,Balanced,100,4.76924748860564,8.2,97.07865355954624,95.23075251139436,0.1219512195121951,97.07865355954624,0.8327968463631494,0.5478503513848699,0.6262701276562561,0.6689724418014251
P7,321,373,19,0.55,0.33,Operational,Balanced,100,6.760990244668537,12.5,95.1810115790932,93.23900975533148,0.08,95.1810115790932,0.7399861030505139,0.1932203389830509,0.5381087384865362,0.49043839350670027
P8,666,487,25,0.41,0.63,Strategic,Balanced,100,5.214543131221551,12.1,98.1679232097482,94.78545686877844,0.0826446280991735,98.1679232097482,0.8120470685822312,0.2155764112620816,0.6768758407103546,0.5681664401848892
P9,1438,700,34,0.88,0.59,R&D,Aggressive,100,22.64128500077585,16.8,83.59841582127359,77.35871499922415,0.0595238095238095,83.59841582127359,0.0,0.0201271186440678,0.0,0.0067090395480225995
P10,530,415,51,0.78,0.75,R&D,Aggressive,100,22.45228268550015,15.8,85.37764202350967,77.54771731449985,0.0632911392405063,85.37764202350967,0.0088070838039451,0.0519738253593649,0.0826599828903704,0.04781363068456013
P11,287,113,32,0.68,0.42,R&D,Aggressive,100,9.869642684092472,11.8,90.6180739574956,90.13035731590752,0.0847457627118644,90.6180739574956,0.5951298746418372,0.2333381212295316,0.3261220078184141,0.38486333456326094
P12,1323,341,27,0.29,0.4,Operational,Conservative,100,3.641323109984116,5.9,104.28612899127442,96.35867689001589,0.1694915254237288,104.28612899127442,0.885355591543294,0.9497270899166904,0.961117824436278,0.9320668352987541
P13,1071,876,29,0.3,0.33,R&D,Conservative,100,3.4881661786176936,8.0,100.58323868820624,96.51183382138233,0.125,100.58323868820624,0.8924923608877942,0.5736228813559322,0.7890875065869452,0.7517342496102237
P14,330,445,35,0.13,0.38,R&D,Conservative,100,1.181024205819722,7.3,99.45430410923387,98.81897579418028,0.136986301369863,99.45430410923387,1.0,0.6749477594613419,0.7366390248453181,0.8038622614355533
P15,969,664,37,0.67,0.65,R&D,Aggressive,100,10.899422575239027,15.7,97.17646854744692,89.10057742476097,0.0636942675159235,97.17646854744692,0.5471444423590857,0.0553816258231675,0.630814454406913,0.41111350752972203
P16,543,997,36,0.19,0.52,R&D,Conservative,100,4.8605205043316415,7.9,100.31892338360775,95.13947949566835,0.1265822784810126,100.31892338360775,0.828543728630887,0.5869984981763569,0.7768078433668801,0.730783356724708
P17,1005,439,40,0.45,0.25,Strategic,Balanced,100,4.777612979798844,14.5,100.56228897725414,95.22238702020115,0.0689655172413793,100.56228897725414,0.8324070332442348,0.0999415546464056,0.7881142167676503,0.5734876015527635
